gender,rating,wins,director
females,7.0,29.0,Lisa Cholodenko
females,6.4,7.0,Joanna Hogg
females,6.3,4.0,Sofia Coppola
females,7.2,4.0,Márta Mészáros
females,5.9,,Chantal Akerman
females,6.9,,Maya Deren
females,7.3,,Chantal Akerman
females,6.8,22.0,Andrea Arnold
females,6.9,25.0,Julia Ducournau
females,6.9,1.0,Claire Denis
females,7.1,1.0,Amy Heckerling
females,8.0,12.0,Agnès Varda
females,7.3,,Moufida Tlatli
females,7.1,2.0,Claire Denis
females,7.5,22.0,Haifaa Al-Mansour
females,7.4,,Agnès Varda
females,7.0,,Shirley Clarke
females,6.8,4.0,Nora Ephron
females,7.5,,Maya Deren
females,6.9,9.0,Ana Lily Amirpour
females,7.3,11.0,Penny Marshall
females,6.9,,Lois Weber
females,7.2,7.0,Samira Makhmalbaf
females,7.4,10.0,Céline Sciamma
females,6.9,12.0,Céline Sciamma
females,6.5,7.0,Kelly Reichardt
females,7.3,1.0,Claire Denis
females,7.5,19.0,Ildikó Enyedi
females,7.5,8.0,Agnieszka Holland
females,7.0,,Germaine Dulac
females,7.5,33.0,Niki Caro
females,7.0,,Shirley Clarke
females,7.2,12.0,Kasi Lemmons
females,7.3,13.0,Margarethe von Trotta
females,7.5,12.0,Lynne Ramsay
females,7.1,18.0,Debra Granik
females,7.4,25.0,Chloe Zhao
females,6.5,19.0,Sofia Coppola
females,7.2,2.0,Kathryn Bigelow
females,6.1,,Marguerite Duras
females,7.4,6.0,Penny Marshall
females,,1.0,Kira Muratova
females,6.1,2.0,Susan Seidelman
females,6.8,56.0,Jennifer Kent
females,8.2,32.0,Ava DuVernay
females,7.3,31.0,Patty Jenkins
females,6.9,16.0,Jane Campion
females,,9.0,Lucrecia Martel
females,7.5,18.0,Alice Rohrwacher
females,8.2,9.0,Barbara Kopple
females,6.7,,Ida Lupino
females,7.9,13.0,Mira Nair
females,6.6,3.0,Kira Muratova
females,7.4,19.0,Jane Campion
females,6.9,1.0,Kathryn Bigelow
females,7.1,1.0,Leni Riefenstahl
females,7.0,13.0,Andrea Arnold
females,7.2,3.0,Sofia Coppola
females,7.8,,Lotte Reiniger
females,8.4,37.0,Nadine Labaki
females,7.5,50.0,Kimberly Peirce
females,8.1,60.0,Céline Sciamma
females,8.2,17.0,Jennie Livingston
females,7.7,,Leni Riefenstahl
females,7.1,9.0,Kelly Reichardt
females,8.7,42.0,Lana and Lilly Wachowski
females,6.8,10.0,Lynne Ramsay
females,6.7,24.0,Lynne Ramsay
females,6.6,,Liliana Cavani
females,7.7,16.0,Agnès Varda
females,6.7,42.0,Lucrecia Martel
females,7.3,7.0,Mira Nair
females,7.6,3.0,Agnès Varda
females,7.5,58.0,Ava DuVernay
females,7.5,25.0,Sarah Polley
females,7.8,,Forugh Farrokhzad
females,7.4,124.0,Greta Gerwig
females,6.9,,Ida Lupino
females,7.4,26.0,Lynne Ramsay
females,7.1,63.0,Debra Granik
females,6.9,6.0,Amy Heckerling
females,7.1,15.0,Sally Potter
females,7.6,7.0,Mary Harron
females,7.7,2.0,Lina Wertmüller
females,7.1,,Barbara Loden
females,7.0,16.0,Lucrecia Martel
females,7.3,1.0,Kathryn Bigelow
females,7.6,8.0,Agnès Varda
females,7.4,85.0,Kathryn Bigelow
females,8.2,,Larisa Shepitko
females,6.6,4.0,Julie Dash
females,7.3,21.0,Andrea Arnold
females,7.3,59.0,Maren Ade
females,7.5,125.0,Kathryn Bigelow
females,7.2,1.0,Věra Chytilová
females,7.7,97.0,Sofia Coppola
females,7.3,6.0,Claire Denis
females,7.5,,Chantal Akerman
females,7.8,2.0,Agnès Varda
females,7.5,65.0,Jane Campion
males,8.3,37.0,Darren Aronofsky
males,7.6,18.0,Olivier Assayas
males,7.4,1.0,Abbas Kiarostami
males,8.2,49.0,Andrew Stanton
males,7.8,36.0,Wes Anderson
males,7.8,76.0,Tomas Alfredson
males,8.1,68.0,Brad Bird
males,7.5,25.0,Andrew Dominik
males,8.2,53.0,Juan José Campanella
males,8.5,57.0,Roman Polanski
