title,director,year,link,rating,wins,nominations
The Kids are All Right,Lisa Cholodenko,2010,https://www.imdb.com/title/tt0842926/,7.0,29.0,133.0
The Souvenir,Joanna Hogg,2019,https://www.imdb.com/title/tt6920356/,6.4,7.0,37.0
Somewhere,Sofia Coppola,2010,https://www.imdb.com/title/tt1421051/,6.3,4.0,8.0
Adoption,Márta Mészáros,1975,https://www.imdb.com/title/tt0073948/,7.2,4.0,1.0
The Meetings of Anna,Chantal Akerman,1977,https://www.imdb.com/title/tt4441280/,5.9,,
Ritual in Transfigured Time,Maya Deren,1946,https://www.imdb.com/title/tt0038885/,6.9,,
News From Home,Chantal Akerman,1977,https://www.imdb.com/title/tt0076452/,7.3,,
Red Road,Andrea Arnold,2006,https://www.imdb.com/title/tt0471030/,6.8,22.0,12.0
Raw,Julia Ducournau,2016,https://www.imdb.com/title/tt4954522/,6.9,25.0,45.0
White Material,Claire Denis,2009,https://www.imdb.com/title/tt1135952/,6.9,1.0,10.0
Fast Times at Ridgemont High,Amy Heckerling,1982,https://www.imdb.com/title/tt0083929/,7.1,1.0,1.0
The Beaches of Agnes,Agnès Varda,2008,https://www.imdb.com/title/tt1129435/,8.0,12.0,13.0
The Silences of the Palace,Moufida Tlatli,1994,https://www.imdb.com/title/tt0111055/,7.3,,
35 Shots of Rum,Claire Denis,2008,https://www.imdb.com/title/tt1100048/,7.1,2.0,17.0
Wadjda,Haifaa Al-Mansour,2012,https://www.imdb.com/title/tt2258858/,7.5,22.0,36.0
"One Sings, The Other Doesn’t",Agnès Varda,1977,https://www.imdb.com/title/tt0076855/,7.4,,
Portrait of Jason,Shirley Clarke,1967,https://www.imdb.com/title/tt0062144/,7.0,,
Sleepless in Seattle,Nora Ephron,1993,https://www.imdb.com/title/tt0108160/,6.8,4.0,19.0
At Land,Maya Deren,1944,https://www.imdb.com/title/tt0036618/,7.5,,
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,https://www.imdb.com/title/tt2326554/,6.9,9.0,23.0
Big,Penny Marshall,1988,https://www.imdb.com/title/tt0094737/,7.3,11.0,14.0
Shoes,Lois Weber,1916,https://www.imdb.com/title/tt0007340/,6.9,,
The Apple,Samira Makhmalbaf,1998,https://www.imdb.com/title/tt0156901/,7.2,7.0,7.0
Tomboy,Céline Sciamma,2011,https://www.imdb.com/title/tt1847731/,7.4,10.0,6.0
Girlhood,Céline Sciamma,2014,https://www.imdb.com/title/tt3655522/,6.9,12.0,22.0
Meek’s Cutoff,Kelly Reichardt,2010,https://www.imdb.com/title/tt1518812/,6.5,7.0,14.0
Chocolat,Claire Denis,1988,https://www.imdb.com/title/tt0094868/,7.3,1.0,3.0
On Body and Soul,Ildikó Enyedi,2017,https://www.imdb.com/title/tt5607714/,7.5,19.0,23.0
Europa Europa,Agnieszka Holland,1980,https://www.imdb.com/title/tt0099776/,7.5,8.0,8.0
The Seashell and the Clergyman,Germaine Dulac,1928,https://www.imdb.com/title/tt0017775/,7.0,,
Whale Rider,Niki Caro,2002,https://www.imdb.com/title/tt0298228/,7.5,33.0,35.0
The Connection,Shirley Clarke,1961,https://www.imdb.com/title/tt0054763/,7.0,,
Eve’s Bayou,Kasi Lemmons,1997,https://www.imdb.com/title/tt0119080/,7.2,12.0,17.0
The German Sisters,Margarethe von Trotta,1981,https://www.imdb.com/title/tt0082081/,7.3,13.0,7.0
Ratcatcher,Lynne Ramsay,1999,https://www.imdb.com/title/tt0171685/,7.5,12.0,6.0
Leave no Trace,Debra Granik,2018,https://www.imdb.com/title/tt3892172/,7.1,18.0,92.0
The Rider,Chloe Zhao,2017,https://www.imdb.com/title/tt6217608/,7.4,25.0,59.0
Marie Antoinette,Sofia Coppola,2006,https://www.imdb.com/title/tt0422720/,6.5,19.0,24.0
Strange Days,Kathryn Bigelow,1995,https://www.imdb.com/title/tt0114558/,7.2,2.0,4.0
India Song,Marguerite Duras,1975,https://www.imdb.com/title/tt0073166/,6.1,,
A League of their Own,Penny Marshall,1992,https://www.imdb.com/title/tt0104694/,7.4,6.0,13.0
The Long Farewell,Kira Muratova,1971,https://www.imdb.com/title/tt0092905/,N/A,1.0,4.0
Desperately Seeking Susan,Susan Seidelman,1985,https://www.imdb.com/title/tt0089017/,6.1,2.0,6.0
The Babadook,Jennifer Kent,2014,https://www.imdb.com/title/tt2321549/,6.8,56.0,64.0
13th,Ava DuVernay,2016,https://www.imdb.com/title/tt5895028/,8.2,32.0,47.0
Monster,Patty Jenkins,2003,https://www.imdb.com/title/tt0340855/,7.3,31.0,26.0
Bright Star,Jane Campion,2009,https://www.imdb.com/title/tt0810784/,6.9,16.0,54.0
The Headless Woman,Lucrecia Martel,2008,https://www.imdb.com/title/tt1221141/,N/A,9.0,19.0
Happy as Lazzaro,Alice Rohrwacher,2018,https://www.imdb.com/title/tt6752992/,7.5,18.0,52.0
"Harlan County, USA",Barbara Kopple,1976,https://www.imdb.com/title/tt0074605/,8.2,9.0,1.0
Outrage,Ida Lupino,1950,https://www.imdb.com/title/tt0042824/,6.7,,
Salaam Bombay!,Mira Nair,1988,https://www.imdb.com/title/tt0096028/,7.9,13.0,8.0
The Asthenic Syndrome,Kira Muratova,1989,https://www.imdb.com/title/tt0096841/,6.6,3.0,4.0
An Angel at my Table,Jane Campion,1990,https://www.imdb.com/title/tt0099040/,7.4,19.0,5.0
Near Dark,Kathryn Bigelow,1987,https://www.imdb.com/title/tt0093605/,6.9,1.0,9.0
Triumph of the Will,Leni Riefenstahl,1935,https://www.imdb.com/title/tt0025913/,7.1,1.0,1.0
American Honey,Andrea Arnold,2016,https://www.imdb.com/title/tt3721936/,7.0,13.0,43.0
The Virgin Suicides,Sofia Coppola,1999,https://www.imdb.com/title/tt0159097/,7.2,3.0,14.0
The Adventures of Prince Achmed,Lotte Reiniger,1926,https://www.imdb.com/title/tt0015532/,7.8,,
Capernaum,Nadine Labaki,2018,https://www.imdb.com/title/tt8267604/,8.4,37.0,55.0
Boys Don’t Cry,Kimberly Peirce,1999,https://www.imdb.com/title/tt0171804/,7.5,50.0,39.0
Portrait of a Lady on Fire,Céline Sciamma,2019,https://www.imdb.com/title/tt8613070/,8.1,60.0,164.0
Paris is Burning,Jennie Livingston,1990,https://www.imdb.com/title/tt0100332/,8.2,17.0,1.0
Olympia,Leni Riefenstahl,1938,https://www.imdb.com/title/tt0030522/,7.7,,
Wendy and Lucy,Kelly Reichardt,2008,https://www.imdb.com/title/tt1152850/,7.1,9.0,16.0
The Matrix,Lana and Lilly Wachowski,1999,https://www.imdb.com/title/tt0133093/,8.7,42.0,52.0
Morvern Callar,Lynne Ramsay,2002,https://www.imdb.com/title/tt0300214/,6.8,10.0,16.0
You Were Never Really Here,Lynne Ramsay,2017,https://www.imdb.com/title/tt5742374/,6.7,24.0,78.0
The Night Porter,Liliana Cavani,1974,https://www.imdb.com/title/tt0071910/,6.6,,
The Gleaners and I,Agnès Varda,2000,https://www.imdb.com/title/tt0247380/,7.7,16.0,3.0
Zama,Lucrecia Martel,2017,https://www.imdb.com/title/tt3409848/,6.7,42.0,48.0
Monsoon Wedding,Mira Nair,2001,https://www.imdb.com/title/tt0265343/,7.3,7.0,12.0
Le Bonheur,Agnès Varda,1965,https://www.imdb.com/title/tt0058985/,7.6,3.0,3.0
Selma,Ava DuVernay,2014,https://www.imdb.com/title/tt1020072/,7.5,58.0,91.0
Stories we Tell,Sarah Polley,2012,https://www.imdb.com/title/tt2366450/,7.5,25.0,44.0
The House is Black,Forugh Farrokhzad,1963,https://www.imdb.com/title/tt0336693/,7.8,,
Lady Bird,Greta Gerwig,2017,https://www.imdb.com/title/tt4925292/,7.4,124.0,228.0
The Hitch-Hiker,Ida Lupino,1953,https://www.imdb.com/title/tt0045877/,6.9,,
We Need to Talk About Kevin,Lynne Ramsay,2011,https://www.imdb.com/title/tt1242460/,7.4,26.0,66.0
Winter’s Bone,Debra Granik,2010,https://www.imdb.com/title/tt1399683/,7.1,63.0,131.0
Clueless,Amy Heckerling,1995,https://www.imdb.com/title/tt0112697/,6.9,6.0,12.0
Orlando,Sally Potter,1992,https://www.imdb.com/title/tt0107756/,7.1,15.0,11.0
American Psycho,Mary Harron,2000,https://www.imdb.com/title/tt0144084/,7.6,7.0,11.0
Seven Beauties,Lina Wertmüller,1975,https://www.imdb.com/title/tt0075040/,7.7,2.0,9.0
Wanda,Barbara Loden,1970,https://www.imdb.com/title/tt0067961/,7.1,,
The Swamp,Lucrecia Martel,2001,https://www.imdb.com/title/tt0240419/,7.0,16.0,8.0
Point Break,Kathryn Bigelow,1991,https://www.imdb.com/title/tt0102685/,7.3,1.0,2.0
Vagabond,Agnès Varda,1985,https://www.imdb.com/title/tt0089960/,7.6,8.0,5.0
Zero Dark Thirty,Kathryn Bigelow,2012,https://www.imdb.com/title/tt1790885/,7.4,85.0,174.0
The Ascent,Larisa Shepitko,1977,https://www.imdb.com/title/tt0075404/,8.2,,
Daughters of the Dust,Julie Dash,1991,https://www.imdb.com/title/tt0104057/,6.6,4.0,2.0
Fish Tank,Andrea Arnold,2009,https://www.imdb.com/title/tt1232776/,7.3,21.0,30.0
Toni Erdmann,Maren Ade,2016,https://www.imdb.com/title/tt4048272/,7.3,59.0,85.0
The Hurt Locker,Kathryn Bigelow,2008,https://www.imdb.com/title/tt0887912/,7.5,125.0,130.0
Daisies,Věra Chytilová,1966,https://www.imdb.com/title/tt0060959/,7.2,1.0,1.0
Lost in Translation,Sofia Coppola,2003,https://www.imdb.com/title/tt0335266/,7.7,97.0,133.0
Beau Travail,Claire Denis,1999,https://www.imdb.com/title/tt0209933/,7.3,6.0,12.0
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,https://www.imdb.com/title/tt0073198/,7.5,,
Cléo from 5 to 7,Agnès Varda,1962,https://www.imdb.com/title/tt0055852/,7.8,2.0,1.0
The Piano,Jane Campion,1993,https://www.imdb.com/title/tt0107822/,7.5,65.0,57.0
