title,director,year,link,rating,wins,nominations,genres
The Kids are All Right,Lisa Cholodenko,2010,https://www.imdb.com/title/tt0842926/,7.0,29.0,133.0,"['Comedy', 'Drama', 'Romance']"
The Souvenir,Joanna Hogg,2019,https://www.imdb.com/title/tt6920356/,6.4,7.0,37.0,"['Coming-of-Age', 'Period Drama', 'Drama', 'Romance']"
Somewhere,Sofia Coppola,2010,https://www.imdb.com/title/tt1421051/,6.3,4.0,8.0,"['Dark Comedy', 'Quirky Comedy', 'Comedy', 'Drama', 'Romance']"
Adoption,Márta Mészáros,1975,https://www.imdb.com/title/tt0073948/,7.2,4.0,1.0,['Drama']
The Meetings of Anna,Chantal Akerman,1977,https://www.imdb.com/title/tt4441280/,5.9,,,"['Drama', 'Thriller']"
Ritual in Transfigured Time,Maya Deren,1946,https://www.imdb.com/title/tt0038885/,6.9,,,"['Fantasy', 'Short']"
News From Home,Chantal Akerman,1977,https://www.imdb.com/title/tt0076452/,7.3,,,['Documentary']
Red Road,Andrea Arnold,2006,https://www.imdb.com/title/tt0471030/,6.8,22.0,12.0,"['Drama', 'Mystery', 'Thriller']"
Raw,Julia Ducournau,2016,https://www.imdb.com/title/tt4954522/,6.9,25.0,45.0,"['Body Horror', 'Coming-of-Age', 'Drama', 'Horror']"
White Material,Claire Denis,2009,https://www.imdb.com/title/tt1135952/,6.9,1.0,10.0,"['Drama', 'War']"
Fast Times at Ridgemont High,Amy Heckerling,1982,https://www.imdb.com/title/tt0083929/,7.1,1.0,1.0,"['Teen Comedy', 'Comedy', 'Drama']"
The Beaches of Agnes,Agnès Varda,2008,https://www.imdb.com/title/tt1129435/,8.0,12.0,13.0,"['Biography', 'Documentary']"
The Silences of the Palace,Moufida Tlatli,1994,https://www.imdb.com/title/tt0111055/,7.3,,,['Drama']
35 Shots of Rum,Claire Denis,2008,https://www.imdb.com/title/tt1100048/,7.1,2.0,17.0,"['Coming-of-Age', 'Drama']"
Wadjda,Haifaa Al-Mansour,2012,https://www.imdb.com/title/tt2258858/,7.5,22.0,36.0,"['Coming-of-Age', 'Comedy', 'Drama']"
"One Sings, The Other Doesn’t",Agnès Varda,1977,https://www.imdb.com/title/tt0076855/,7.4,,,"['Drama', 'History']"
Portrait of Jason,Shirley Clarke,1967,https://www.imdb.com/title/tt0062144/,7.0,,,"['Biography', 'Documentary']"
Sleepless in Seattle,Nora Ephron,1993,https://www.imdb.com/title/tt0108160/,6.8,4.0,19.0,"['Feel-Good Romance', 'Romantic Comedy', 'Romantic Epic', 'Comedy', 'Drama', 'Romance']"
At Land,Maya Deren,1944,https://www.imdb.com/title/tt0036618/,7.5,,,"['Drama', 'Fantasy', 'Short']"
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,https://www.imdb.com/title/tt2326554/,6.9,9.0,23.0,"['Dark Romance', 'Vampire Horror', 'Drama', 'Horror', 'Romance', 'Thriller']"
Big,Penny Marshall,1988,https://www.imdb.com/title/tt0094737/,7.3,11.0,14.0,"['Body Swap Comedy', 'Coming-of-Age', 'High-Concept Comedy', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
Shoes,Lois Weber,1916,https://www.imdb.com/title/tt0007340/,6.9,,,['Drama']
The Apple,Samira Makhmalbaf,1998,https://www.imdb.com/title/tt0156901/,7.2,7.0,7.0,"['Docudrama', 'Drama']"
Tomboy,Céline Sciamma,2011,https://www.imdb.com/title/tt1847731/,7.4,10.0,6.0,"['Coming-of-Age', 'Drama']"
Girlhood,Céline Sciamma,2014,https://www.imdb.com/title/tt3655522/,6.9,12.0,22.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
Meek’s Cutoff,Kelly Reichardt,2010,https://www.imdb.com/title/tt1518812/,6.5,7.0,14.0,"['Psychological Drama', 'Survival', 'Adventure', 'Drama', 'Thriller', 'Western']"
Chocolat,Claire Denis,1988,https://www.imdb.com/title/tt0094868/,7.3,1.0,3.0,['Drama']
On Body and Soul,Ildikó Enyedi,2017,https://www.imdb.com/title/tt5607714/,7.5,19.0,23.0,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
Europa Europa,Agnieszka Holland,1980,https://www.imdb.com/title/tt0099776/,7.5,8.0,8.0,"['Drama', 'History', 'War']"
The Seashell and the Clergyman,Germaine Dulac,1928,https://www.imdb.com/title/tt0017775/,7.0,,,"['Drama', 'Fantasy', 'Short']"
Whale Rider,Niki Caro,2002,https://www.imdb.com/title/tt0298228/,7.5,33.0,35.0,"['Drama', 'Family']"
The Connection,Shirley Clarke,1961,https://www.imdb.com/title/tt0054763/,7.0,,,['Drama']
Eve’s Bayou,Kasi Lemmons,1997,https://www.imdb.com/title/tt0119080/,7.2,12.0,17.0,"['Coming-of-Age', 'Psychological Drama', 'Drama']"
The German Sisters,Margarethe von Trotta,1981,https://www.imdb.com/title/tt0082081/,7.3,13.0,7.0,['Drama']
Ratcatcher,Lynne Ramsay,1999,https://www.imdb.com/title/tt0171685/,7.5,12.0,6.0,"['Coming-of-Age', 'Drama']"
Leave no Trace,Debra Granik,2018,https://www.imdb.com/title/tt3892172/,7.1,18.0,92.0,"['Adventure', 'Drama']"
The Rider,Chloe Zhao,2017,https://www.imdb.com/title/tt6217608/,7.4,25.0,59.0,"['Drama', 'Western']"
Marie Antoinette,Sofia Coppola,2006,https://www.imdb.com/title/tt0422720/,6.5,19.0,24.0,"['Coming-of-Age', 'Costume Drama', 'Docudrama', 'Period Drama', 'Teen Drama', 'Biography', 'Drama', 'History', 'Romance']"
Strange Days,Kathryn Bigelow,1995,https://www.imdb.com/title/tt0114558/,7.2,2.0,4.0,"['Cyber Thriller', 'Cyberpunk', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']"
