females,rating,wins
females,7.0,29.0
females,6.4,7.0
females,6.3,4.0
females,7.2,4.0
females,5.9,
females,6.9,
females,7.3,
females,6.8,22.0
females,6.9,25.0
females,6.9,1.0
females,7.1,1.0
females,8.0,12.0
females,7.3,
females,7.1,2.0
females,7.5,22.0
females,7.4,
females,7.0,
females,6.8,4.0
females,7.5,
females,6.9,9.0
females,7.3,11.0
females,6.9,
females,7.2,7.0
females,7.4,10.0
females,6.9,12.0
females,6.5,7.0
females,7.3,1.0
females,7.5,19.0
females,7.5,8.0
females,7.0,
females,7.5,33.0
females,7.0,
females,7.2,12.0
females,7.3,13.0
females,7.5,12.0
females,7.1,18.0
females,7.4,25.0
females,6.5,19.0
females,7.2,2.0
females,6.1,
females,7.4,6.0
females,,1.0
females,6.1,2.0
females,6.8,56.0
females,8.2,32.0
females,7.3,31.0
females,6.9,16.0
females,,9.0
females,7.5,18.0
females,8.2,9.0
females,6.7,
females,7.9,13.0
females,6.6,3.0
females,7.4,19.0
females,6.9,1.0
females,7.1,1.0
females,7.0,13.0
females,7.2,3.0
females,7.8,
females,8.4,37.0
females,7.5,50.0
females,8.1,60.0
females,8.2,17.0
females,7.7,
females,7.1,9.0
females,8.7,42.0
females,6.8,10.0
females,6.7,24.0
females,6.6,
females,7.7,16.0
females,6.7,42.0
females,7.3,7.0
females,7.6,3.0
females,7.5,58.0
females,7.5,25.0
females,7.8,
females,7.4,124.0
females,6.9,
females,7.4,26.0
females,7.1,63.0
females,6.9,6.0
females,7.1,15.0
females,7.6,7.0
females,7.7,2.0
females,7.1,
females,7.0,16.0
females,7.3,1.0
females,7.6,8.0
females,7.4,85.0
females,8.2,
females,6.6,4.0
females,7.3,21.0
females,7.3,59.0
females,7.5,125.0
females,7.2,1.0
females,7.7,97.0
females,7.3,6.0
females,7.5,
females,7.8,2.0
females,7.5,65.0
