Era,Broad_Genre,Count
1999-2010,Action,3
1999-2010,Animation,2
1999-2010,Comedy,5
1999-2010,Coming-of-Age,4
1999-2010,Documentary,32
1999-2010,Drama,18
1999-2010,Family,1
1999-2010,History,3
1999-2010,Other,5
1999-2010,Romance,4
1999-2010,Sports,3
1999-2010,Thriller,1
1999-2010,War,3
2010-2020,Action,7
2010-2020,Animation,2
2010-2020,Comedy,34
2010-2020,Coming-of-Age,14
2010-2020,Documentary,91
2010-2020,Drama,90
2010-2020,Family,4
2010-2020,History,12
2010-2020,Horror,15
2010-2020,Mystery,7
2010-2020,Other,27
2010-2020,Romance,21
2010-2020,Sci-Fi,2
2010-2020,Sports,5
2010-2020,Thriller,19
2010-2020,War,7
2020-2024,Action,12
2020-2024,Animation,2
2020-2024,Comedy,50
2020-2024,Coming-of-Age,25
2020-2024,Documentary,41
2020-2024,Drama,139
2020-2024,Family,3
2020-2024,History,10
2020-2024,Horror,45
2020-2024,Mystery,8
2020-2024,Other,22
2020-2024,Romance,22
2020-2024,Sci-Fi,6
2020-2024,Sports,5
2020-2024,Thriller,31
2020-2024,War,2
