Broad_Genre,Female,Male,Female_Share (%),Male_Share (%)
Action,13.0,51.0,3.57,10.92
Animation,1.0,11.0,0.27,2.36
Comedy,38.0,31.0,10.44,6.64
Coming-of-Age,25.0,15.0,6.87,3.21
Crime,4.0,3.0,1.1,0.64
Documentary,32.0,16.0,8.79,3.43
Family,1.0,5.0,0.27,1.07
History,9.0,6.0,2.47,1.28
Horror,13.0,7.0,3.57,1.5
Mystery,7.0,11.0,1.92,2.36
Other,122.0,157.0,33.52,33.62
Psychological Drama,11.0,20.0,3.02,4.28
Romance,31.0,41.0,8.52,8.78
Sci-Fi,16.0,39.0,4.4,8.35
Sports,3.0,0.0,0.82,0.0
Thriller,32.0,47.0,8.79,10.06
War,6.0,7.0,1.65,1.5
