title,director,year,link,rating,wins,nominations
Toni Erdmann,Maren Ade,2016,https://www.imdb.com/title/tt4048272/,7.3,59.0,85.0
Requiem for a Dream,Darren Aronofsky,2000,https://www.imdb.com/title/tt0180093/,8.3,37.0,69.0
Carlos,Olivier Assayas,2010,https://www.imdb.com/title/tt1321865/,7.6,18.0,49.0
The Gleaners and I,Agnès Varda,2000,https://www.imdb.com/title/tt0247380/,7.7,16.0,3.0
Ten,Abbas Kiarostami,2002,https://www.imdb.com/title/tt0301978/,7.4,1.0,4.0
White Material,Claire Denis,2009,https://www.imdb.com/title/tt1135952/,6.9,1.0,10.0
Finding Nemo,Andrew Stanton,2003,https://www.imdb.com/title/tt0266543/,8.2,49.0,63.0
Moonrise Kingdom,Wes Anderson,2012,https://www.imdb.com/title/tt1748122/,7.8,36.0,121.0
Let the Right One In,Tomas Alfredson,2008,https://www.imdb.com/title/tt1139797/,7.8,76.0,58.0
Ratatouille,Brad Bird,2007,https://www.imdb.com/title/tt0382932/,8.1,68.0,42.0
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,https://www.imdb.com/title/tt0443680/,7.5,25.0,69.0
The Secret in Their Eyes,Juan José Campanella,2009,https://www.imdb.com/title/tt1305806/,8.2,53.0,43.0
The Pianist,Roman Polanski,2002,https://www.imdb.com/title/tt0253474/,8.5,57.0,74.0
The Headless Woman,Lucrecia Martel,2008,https://www.imdb.com/title/tt1221141/,N/A,9.0,19.0
Spotlight,Tom McCarthy,2015,https://www.imdb.com/title/tt1895587/,8.1,124.0,145.0
Amélie,Jean-Pierre Jeunet,2001,https://www.imdb.com/title/tt0211915/,8.3,59.0,74.0
Far From Heaven,Todd Haynes,2002,https://www.imdb.com/title/tt0297884/,7.3,102.0,96.0
A Prophet,Jacques Audiard,2009,https://www.imdb.com/title/tt1235166/,7.8,52.0,57.0
Her,Spike Jonze,2013,https://www.imdb.com/title/tt1798709/,8.0,83.0,187.0
A.I. Artificial Intelligence,Steven Spielberg,2001,https://www.imdb.com/title/tt0212720/,7.2,18.0,71.0
A Serious Man,Joel and Ethan Coen,2009,https://www.imdb.com/title/tt1019452/,7.0,17.0,80.0
Shame,Steve McQueen,2011,https://www.imdb.com/title/tt1723811/,7.2,51.0,94.0
The Return,Andrey Zvyagintsev,2003,https://www.imdb.com/title/tt0167260/,9.0,215.0,124.0
Almost Famous,Cameron Crowe,2000,https://www.imdb.com/title/tt0181875/,7.9,54.0,103.0
The Wolf of Wall Street,Martin Scorsese,2013,https://www.imdb.com/title/tt0993846/,8.2,38.0,180.0
The Diving Bell and the Butterfly,Julian Schnabel,2007,https://www.imdb.com/title/tt2998630/,N/A,,
Dogville,Lars von Trier,2003,https://www.imdb.com/title/tt0276919/,8.0,21.0,33.0
Inherent Vice,Paul Thomas Anderson,2014,https://www.imdb.com/title/tt1791528/,6.6,15.0,99.0
Spring Breakers,Harmony Korine,2012,https://www.imdb.com/title/tt2101441/,5.3,14.0,35.0
Before Sunset,Richard Linklater,2004,https://www.imdb.com/title/tt0381681/,8.1,10.0,32.0
Only Lovers Left Alive,Jim Jarmusch,2013,https://www.imdb.com/title/tt1714915/,7.2,8.0,44.0
Tabu,Miguel Gomes,2012,https://www.imdb.com/title/tt2153963/,7.3,21.0,46.0
Stories We Tell,Sarah Polley,2012,https://www.imdb.com/title/tt2366450/,7.5,25.0,44.0
Carol,Todd Haynes,2015,https://www.imdb.com/title/tt2402927/,7.3,76.0,255.0
The Royal Tenenbaums,Wes Anderson,2001,https://www.imdb.com/title/tt0265666/,7.6,11.0,46.0
The Hurt Locker,Kathryn Bigelow,2008,https://www.imdb.com/title/tt0887912/,7.5,125.0,130.0
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,https://www.imdb.com/title/tt0374546/,8.0,15.0,9.0
Fish Tank,Andrea Arnold,2009,https://www.imdb.com/title/tt1232776/,7.3,21.0,30.0
The Great Beauty,Paolo Sorrentino,2013,https://www.imdb.com/title/tt2358891/,7.7,60.0,78.0
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,https://www.imdb.com/title/tt1316540/,7.7,7.0,15.0
Inglourious Basterds,Quentin Tarantino,2009,https://www.imdb.com/title/tt0361748/,8.4,134.0,173.0
Under the Skin,Jonathan Glazer,2013,https://www.imdb.com/title/tt1441395/,6.3,23.0,113.0
Syndromes and a Century,Apichatpong Weerasethakul,2006,https://www.imdb.com/title/tt0477731/,7.3,3.0,13.0
A History of Violence,David Cronenberg,2005,https://www.imdb.com/title/tt0399146/,7.4,37.0,84.0
Moolaadé,Ousmane Sembène,2004,https://www.imdb.com/title/tt33057548/,N/A,,
Zero Dark Thirty,Kathryn Bigelow,2012,https://www.imdb.com/title/tt1790885/,7.4,85.0,174.0
Werckmeister Harmonies,"Béla Tarr, director; Ágnes Hranitzky, co-director",2000,https://www.imdb.com/title/tt0249241/,8.0,5.0,2.0
Ida,Paweł Pawlikowski,2013,https://www.imdb.com/title/tt2718492/,7.4,69.0,92.0
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,https://www.imdb.com/title/tt1843230/,7.7,13.0,95.0
Moulin Rouge!,Baz Luhrmann,2001,https://www.imdb.com/title/tt0203009/,7.6,87.0,133.0
Tropical Malady,Apichatpong Weerasethakul,2004,https://www.imdb.com/title/tt0381668/,7.1,7.0,8.0
Inception,Christopher Nolan,2010,https://www.imdb.com/title/tt1375666/,8.8,159.0,220.0
The Assassin,Hou Hsiao-hsien,2015,https://www.imdb.com/title/tt3508840/,6.3,36.0,75.0
Goodbye to Language,Jean-Luc Godard,2014,https://www.imdb.com/title/tt2400275/,5.8,4.0,20.0
Brooklyn,John Crowley,2015,https://www.imdb.com/title/tt2381111/,7.5,38.0,161.0
Leviathan,Andrey Zvyagintsev,2014,https://www.imdb.com/title/tt2802154/,7.6,38.0,52.0
Certified Copy,Abbas Kiarostami,2010,https://www.imdb.com/title/tt1020773/,7.2,11.0,29.0
Blue Is the Warmest Color,Abdellatif Kechiche,2013,https://www.imdb.com/title/tt2278871/,7.7,87.0,106.0
12 Years a Slave,Steve McQueen,2013,https://www.imdb.com/title/tt2024544/,8.1,244.0,338.0
Melancholia,Lars von Trier,2011,https://www.imdb.com/title/tt1527186/,7.1,36.0,95.0
Amour,Michael Haneke,2012,https://www.imdb.com/title/tt1602620/,7.9,84.0,111.0
Inside Out,Pete Docter,2015,https://www.imdb.com/title/tt2096673/,8.1,99.0,118.0
Brokeback Mountain,Ang Lee,2005,https://www.imdb.com/title/tt0388795/,7.7,141.0,133.0
The New World,Terrence Malick,2005,https://www.imdb.com/title/tt0402399/,6.7,6.0,34.0
City of God,Fernando Meirelles and Kátia Lund,2002,https://www.imdb.com/title/tt0317248/,8.6,75.0,50.0
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,https://www.imdb.com/title/tt1588895/,6.7,11.0,25.0
Timbuktu,Abderrahmane Sissako,2014,https://www.imdb.com/title/tt3409392/,7.1,33.0,28.0
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,https://www.imdb.com/title/tt0190332/,7.9,101.0,132.0
Son of Saul,László Nemes,2015,https://www.imdb.com/title/tt3808342/,7.4,65.0,62.0
The Dark Knight,Christopher Nolan,2008,https://www.imdb.com/title/tt0468569/,9.0,164.0,165.0
The Lives of Others,Florian Henckel von Donnersmarck,2006,https://www.imdb.com/title/tt0405094/,8.4,80.0,38.0
Margaret,Kenneth Lonergan,2011,https://www.imdb.com/title/tt0466893/,6.5,10.0,18.0
Oldboy,Park Chan-wook,2003,https://www.imdb.com/title/tt0364569/,8.3,43.0,28.0
WALL-E,Andrew Stanton,2008,https://www.imdb.com/title/tt0910970/,8.4,96.0,95.0
Talk to Her,Pedro Almodóvar,2002,https://www.imdb.com/title/tt0287467/,7.9,47.0,47.0
The Social Network,David Fincher,2010,https://www.imdb.com/title/tt1285016/,7.8,174.0,188.0
25th Hour,Spike Lee,2002,https://www.imdb.com/title/tt0307901/,7.6,4.0,17.0
​Memento,Christopher Nolan,2000,https://www.imdb.com/title/tt0209144/,8.4,57.0,59.0
The Master,Paul Thomas Anderson,2012,https://www.imdb.com/title/tt1560747/,7.1,75.0,187.0
Caché,Michael Haneke,2005,https://www.imdb.com/title/tt0387898/,7.3,29.0,37.0
Lost in Translation,Sofia Coppola,2003,https://www.imdb.com/title/tt0335266/,7.7,97.0,133.0
The Grand Budapest Hotel,Wes Anderson,2014,https://www.imdb.com/title/tt2278388/,8.1,135.0,227.0
"Synecdoche, New York",Charlie Kaufman,2008,https://www.imdb.com/title/tt0383028/,7.5,8.0,29.0
Mad Max: Fury Road,George Miller,2015,https://www.imdb.com/title/tt1392190/,8.1,245.0,234.0
The White Ribbon,Michael Haneke,2009,https://www.imdb.com/title/tt1149362/,7.8,62.0,49.0
Pan's Labyrinth,Guillermo Del Toro,2006,https://www.imdb.com/title/tt0457430/,8.2,109.0,115.0
