Title,Year,Director,Link,Rating,Wins,Nominations,Genres
The Substance,2024,Coralie Fargeat,https://www.imdb.com/title/tt17526714/,7.3,143.0,280.0,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Showbiz Drama', 'Drama', 'Horror', 'Sci-Fi']"
My Old Ass,2024,Megan Park,https://www.imdb.com/title/tt18559464/,6.9,9.0,35.0,"['Coming-of-Age', 'Comedy', 'Drama', 'Romance']"
Love Lies Bleeding,2024,Rose Glass,https://www.imdb.com/title/tt19637052/,6.6,6.0,53.0,"['Dark Romance', 'Drug Crime', 'Erotic Thriller', 'Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']"
The Fire Inside,2024,Rachel Morrison,https://www.imdb.com/title/tt6133444/,6.7,5.0,17.0,"['Boxing', 'Docudrama', 'Biography', 'Drama', 'Sport']"
The Devil's Bath,2024,Veronika Franz,https://www.imdb.com/title/tt29141112/,6.6,15.0,10.0,"['Folk Horror', 'Period Drama', 'Drama', 'History', 'Horror', 'Thriller']"
Vermiglio,2024,Maura Delpero,https://www.imdb.com/title/tt28618488/,6.9,10.0,32.0,"['Period Drama', 'Drama', 'History']"
In the Summers,2024,Alessandra Lacorazza Samudio,https://www.imdb.com/title/tt24805832/,6.5,8.0,6.0,"['Coming-of-Age', 'Drama']"
Santosh,2024,Sandhya Suri,https://www.imdb.com/title/tt30444418/,7.1,9.0,10.0,"['Crime', 'Drama', 'Thriller']"
Black Box Diaries,2024,Shiori Ito,https://www.imdb.com/title/tt30227076/,7.5,21.0,34.0,"['Crime Documentary', 'Documentary']"
Good One,2024,India Donaldson,https://www.imdb.com/title/tt30319516/,6.6,6.0,22.0,['Drama']
Girls Will Be Girls,2024,Shuchi Talati,https://www.imdb.com/title/tt18277182/,7.1,21.0,30.0,"['Coming-of-Age', 'Drama', 'Romance']"
Ghostlight,2024,Kelly O'Sullivan,https://www.imdb.com/title/tt30321095/,7.6,6.0,21.0,"['Comedy', 'Drama']"
On Becoming a Guinea Fowl,2024,Rungano Nyoni,https://www.imdb.com/title/tt32083311/,7.1,7.0,13.0,"['Dark Comedy', 'Comedy', 'Drama']"
