Era,Genres,Count
1999-2010,Documentary,19
1999-2010,Drama,15
1999-2010,Biography,7
1999-2010,Comedy,4
1999-2010,Coming-of-Age,4
1999-2010,History,3
1999-2010,Romance,3
1999-2010,War,3
1999-2010,Adventure,2
1999-2010,Military Documentary,2
1999-2010,Sport,2
1999-2010,Sports Documentary,2
1999-2010,Adult Animation,1
1999-2010,Animation,1
1999-2010,Baseball,1
1999-2010,Docudrama,1
1999-2010,Family,1
1999-2010,Feel-Good Romance,1
1999-2010,Mountain Adventure,1
1999-2010,Music,1
2010-2020,Drama,70
2010-2020,Documentary,52
2010-2020,Biography,20
2010-2020,Comedy,20
2010-2020,Romance,15
2010-2020,Coming-of-Age,14
2010-2020,History,12
2010-2020,Horror,9
2010-2020,Crime,8
2010-2020,Thriller,8
2010-2020,Mystery,7
2010-2020,Teen Drama,7
2010-2020,War,7
2010-2020,Period Drama,5
2010-2020,Political Documentary,5
2010-2020,Teen Comedy,5
2010-2020,Western,5
2010-2020,Adventure,4
2010-2020,Family,4
2010-2020,Fantasy,4
2020-2024,Drama,102
2020-2024,Comedy,28
2020-2024,Coming-of-Age,25
2020-2024,Documentary,21
2020-2024,Horror,18
2020-2024,Romance,18
2020-2024,Thriller,15
2020-2024,Crime,11
2020-2024,Psychological Drama,11
2020-2024,History,10
2020-2024,Biography,9
2020-2024,Mystery,8
2020-2024,Period Drama,8
2020-2024,Body Horror,7
2020-2024,Dark Comedy,7
2020-2024,Fantasy,7
2020-2024,Supernatural Horror,6
2020-2024,Teen Drama,6
2020-2024,Adventure,5
2020-2024,Sci-Fi,5
